,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,Limp Bizkit,Behind Blue Eyes,1MTQHCpraD4S8g5PAFKzoj,71,0.595,0.489,7,-6.66,1,0.0271,0.497,0.0,0.119,0.0902,120.315,audio_features,spotify:track:1MTQHCpraD4S8g5PAFKzoj,https://api.spotify.com/v1/tracks/1MTQHCpraD4S8g5PAFKzoj,https://api.spotify.com/v1/audio-analysis/1MTQHCpraD4S8g5PAFKzoj,269973,4
1,Get Well Soon,Funny Treats,3ShmkCFuDfn2u1mh145IwP,41,0.469,0.765,1,-6.459,0,0.0349,9.25e-05,0.0569,0.125,0.207,126.977,audio_features,spotify:track:3ShmkCFuDfn2u1mh145IwP,https://api.spotify.com/v1/tracks/3ShmkCFuDfn2u1mh145IwP,https://api.spotify.com/v1/audio-analysis/3ShmkCFuDfn2u1mh145IwP,220835,4
2,Ride,Kill Switch,05sifUyJIuQJyOCbzQ9TKE,25,0.461,0.638,0,-6.307,1,0.0345,7.4e-05,0.192,0.104,0.281,134.988,audio_features,spotify:track:05sifUyJIuQJyOCbzQ9TKE,https://api.spotify.com/v1/tracks/05sifUyJIuQJyOCbzQ9TKE,https://api.spotify.com/v1/audio-analysis/05sifUyJIuQJyOCbzQ9TKE,165720,4
3,Catnapp,The Mover,5AMV02ipEOnPNyfEuIlpjX,42,0.438,0.551,3,-8.006,0,0.0602,0.0201,0.126,0.0879,0.268,100.701,audio_features,spotify:track:5AMV02ipEOnPNyfEuIlpjX,https://api.spotify.com/v1/tracks/5AMV02ipEOnPNyfEuIlpjX,https://api.spotify.com/v1/audio-analysis/5AMV02ipEOnPNyfEuIlpjX,177208,3
4,Modeselektor,Who,0LJcP6ApERw0OvosstOdZm,52,0.758,0.746,7,-11.39,1,0.0639,0.0997,0.0613,0.151,0.212,142.994,audio_features,spotify:track:0LJcP6ApERw0OvosstOdZm,https://api.spotify.com/v1/tracks/0LJcP6ApERw0OvosstOdZm,https://api.spotify.com/v1/audio-analysis/0LJcP6ApERw0OvosstOdZm,281143,4
5,Paul Bright,Richard Cory,1TmDLvLZiUYi5uRdcGUgaP,1,0.905,0.439,7,-7.236,1,0.0655,0.134,0.0,0.12,0.638,121.956,audio_features,spotify:track:1TmDLvLZiUYi5uRdcGUgaP,https://api.spotify.com/v1/tracks/1TmDLvLZiUYi5uRdcGUgaP,https://api.spotify.com/v1/audio-analysis/1TmDLvLZiUYi5uRdcGUgaP,164635,4
6,Uffie,Drugs,5TLcClDDNCHAnVbETHqpeA,42,0.605,0.55,4,-6.466,1,0.183,0.47,0.00366,0.116,0.153,89.965,audio_features,spotify:track:5TLcClDDNCHAnVbETHqpeA,https://api.spotify.com/v1/tracks/5TLcClDDNCHAnVbETHqpeA,https://api.spotify.com/v1/audio-analysis/5TLcClDDNCHAnVbETHqpeA,173112,4
7,James Blunt,You're Beautiful,0vg4WnUWvze6pBOJDTq99k,76,0.675,0.479,0,-9.87,0,0.0278,0.633,1.76e-05,0.088,0.454,81.998,audio_features,spotify:track:0vg4WnUWvze6pBOJDTq99k,https://api.spotify.com/v1/tracks/0vg4WnUWvze6pBOJDTq99k,https://api.spotify.com/v1/audio-analysis/0vg4WnUWvze6pBOJDTq99k,209493,4
8,Gary Clark Jr.,Come Together,45HAjqRWiNv6mMPw4NvZrU,63,0.447,0.788,2,-4.994,0,0.0464,0.00257,1.68e-05,0.0744,0.505,80.04,audio_features,spotify:track:45HAjqRWiNv6mMPw4NvZrU,https://api.spotify.com/v1/tracks/45HAjqRWiNv6mMPw4NvZrU,https://api.spotify.com/v1/audio-analysis/45HAjqRWiNv6mMPw4NvZrU,193714,4
9,Shawn Mendes,If I Can't Have You,6LsAAHotRLMOHfCsSfYCsz,79,0.692,0.809,2,-4.198,1,0.0602,0.524,0.0,0.147,0.864,123.911,audio_features,spotify:track:6LsAAHotRLMOHfCsSfYCsz,https://api.spotify.com/v1/tracks/6LsAAHotRLMOHfCsSfYCsz,https://api.spotify.com/v1/audio-analysis/6LsAAHotRLMOHfCsSfYCsz,190800,4
